Id,Title
00de54ec-ff13-4e,Choose a platform.
03aa56ed-84c3-4d,Evaluation Metrics
04cac4f2-1ea7-48,Logging
0fc5c4d2-019c-49,Continous Gathering
15c31e03-c080-43,Interaction
177bb237-60ab-47,Launch
18e4c14b-56d6-43,Clean Data
199ec36c-bdea-40,Moderators
20de062c-f25e-46,Level Design
323c8fb9-e7c6-44,Model Selection
46202c62-3c33-46,Continous Deployment
4eb0744b-f9d2-49,Training
56378d8b-0c82-4a,Develop
70cad687-5f05-46,Web App
798be7dd-61c2-4d,Database
8ada3afb-5fd3-43,Player Mechanics
8cdd71f6-ed8b-45,Deployment
8cee3017-a75f-4a,Landscape Design
95a5ad82-6316-42,Research
99049f5b-3d88-4c,Packaging
a9f5ae59-6193-40,Character Design
ac1a2b65-d1fc-47,Control
b81246d7-2bf0-49,Data Formatting
bc63d228-b7a9-49,Implementation
d46993c0-ce64-46,Story Design
e01479d6-6019-4a,Database Design
e06959ed-e216-4f,Testing
e1381441-265b-46,Enemies
f7b17de0-c269-43,Marketing Strategy
f8acf56a-4860-4c,GUI
